,Column1.third_party_flag,Column1.city,Column1.advisory_committee_description,Column1.address_1,Column1.address_2,Column1.statement_or_summary,Column1.product_code,Column1.openfda,Column1.zip_code,Column1.applicant,Column1.decision_date,Column1.decision_code,Column1.country_code,Column1.device_name,Column1.advisory_committee,Column1.contact,Column1.expedited_review_flag,Column1.k_number,Column1.state,Column1.date_received,Column1.review_advisory_committee,Column1.postal_code,Column1.decision_description,Column1.clearance_type,Column1,Column2,Column3,Column4,Column5
0,N,Northfield,Anesthesiology,Three Lakes Drive,,Summary,CAF,[Record],60093,"Medline Industries, LP",2024-01-04,SESE,US,Hudson RCI® AddiPak® Unit Dose Vial,AN,Phyllis  Kondor,,K231058,IL,2023-04-13,AN,60093,Substantially Equivalent,Traditional,"medline industries, lp",Match,Match,Match,Exact Match
1,N,Shenzhen,Cardiovascular,"No.1 Jinkui Road, Futian Free Trade Zone",,Summary,DQY,[Record],518038,"OrbusNeich Medical (Shenzhen) Co., Ltd.",2024-01-07,SESE,CN,Teleport XT Microcatheter,CV,Jerry  Cheung,,K231608,,2023-06-02,CV,518038,Substantially Equivalent,Traditional,"orbusneich medical (shenzhen) co., ltd.",Match,Match,Match,Exact Match
2,N,Flagstaff,Cardiovascular,1505 N. Fourth Street,,Summary,DSY,[Record],86004,"W. L. Gore & Associates, Inc.",2024-01-09,SESE,US,GORE® PROPATEN® Vascular Graft,CV,Sarah  Pastrnak,,K232312,AZ,2023-08-02,CV,86004,Substantially Equivalent,Traditional,"w. l. gore & associates, inc.",Match,Match,Match,Exact Match
4,N,Victor,"Gastroenterology, Urology",7796 Victor-Mendon Rd,,Summary,GCJ,[Record],14564,"LSI Solutions, Inc.",2024-01-12,SESE,US,MD Mattress Suture Placement Device,GU,Christopher B Miller,,K222783,NY,2022-09-15,SU,14564,Substantially Equivalent,Traditional,"lsi solutions, inc.",Match,Match,Match,Exact Match
6,N,Durham,Orthopedic,4001 E. NC 54 Highway,Suite 3160,Summary,MAX,[Record],27709,restor3d,2024-01-22,SESE,US,restor3d TIDAL Lumbar Interbody Fusion System,OR,Anika  Moorjani,,K234087,NC,2023-12-22,OR,27709,Substantially Equivalent,Special,restor3d,Match,Match,Match,Exact Match
9,N,Dallas,Orthopedic,2300 N. Haskell Ave,,Summary,OVD,[Record],75204,Evolution Spine,2024-01-30,SESE,US,E3D-A Interbody System,OR,Todd  Wallenstein,,K232432,TX,2023-08-11,OR,75204,Substantially Equivalent,Traditional,evolution spine,Match,Match,Match,Exact Match
10,N,Franklin Lakes,Clinical Chemistry,1 Becton Drive,,Summary,JKA,[Record],07417,Becton Dickinson and Company,2024-02-02,SESE,US,BD Vacutainer® K2 EDTA Blood Collection Tubes,CH,Pablo  Martinez,,K231373,NJ,2023-05-12,CH,07417,Substantially Equivalent,Traditional,becton dickinson and company,Match,Match,Match,Exact Match
11,N,Reno,Orthopedic,770 Smithridge Dr. #400,,Summary,HTN,[Record],89502,Orthopaedic Implant Company,2024-02-02,SESE,US,OIC FLEX-FIX System,OR,Douglas  Fulton,,K233531,NV,2023-11-02,OR,89502,Substantially Equivalent,Traditional,orthopaedic implant company,Match,Match,Match,Exact Match
16,N,Buxtehude,Orthopedic,Luneburger Schanze 26,,Summary,KWT,[Record],21614,"Implantcast, GmbH",2024-02-16,SESE,DE,AGILON® XO Shoulder Replacement System,OR,Juliane  Höppner,,K231657,,2023-06-07,OR,21614,Substantially Equivalent,Traditional,"implantcast, gmbh",Match,Match,Match,Exact Match
17,N,Cerdanyola,Neurology,Ceramistes 2,,Summary,GXR,[Record],08290,Neos Surgery S.L,2024-02-16,SESE,ES,"Cranial LOOP, Cranial LOOP L and Cranial LOOP XL Cranial Bone Fixation System",NE,Eduard  Garcia,,K240137,,2024-01-18,NE,08290,Substantially Equivalent,Special,neos surgery s.l,Match,Match,Match,Exact Match
